Date,[Author Year] {Qubit},DOI,Published?,Measured Lab,Notes,EJ (hGHz),EC (hGHz),EL (hGHz),fr (GHz),kappa/2pi (MHz),g/2pi (hMHz),Coherence Loc?,chi01 (hMHz),T1 (us),T2R (us),T2E (us),Fid_ro,Grounded/Floating,n_crit,n_ro,t_ro (us),Quantum Amplifier,Drive Lines,Bandaging,Cavity Type,Flux Noise Amplitude (uPhi0),Cap. Pad Material,Qubit Image,Measured Area/Perim Image,Loop area (um^2),Loop Perimeter (um),Measured JJ Area,JJ in Array area (um^2),n_JJ_in_Array,Special Name,Substrate,Superinductance,# Other Qb,Jc (uA/um^2),tan(deltaC) (x10^6)
2025/02/26,[Haonan 2025] B,10.48550/arXiv.2502.18902,arXiv,Tsinghua,Can’t tell if grounded or not from picture.,3.91,1.01,0.52,6.997,,,half-flux,,113,17,39,,,,,,JPA,"charge drive, on-chip flux",Ion-Mill During JJ,2D,,Ta,,,,,,,,,Sapphire,Dolan JJ Array,One,,
2025/02/26,[Haonan 2025] A,10.48550/arXiv.2502.18902,arXiv,Tsinghua,Can’t tell if grounded or not from picture.,3.58,1.03,0.54,6.964,,,half-flux,,433,72,99,0.9728,,,10.4,,JPA,"charge drive, on-chip flux",Ion-Mill During JJ,2D,,Ta,,,,,,,,,Sapphire,Dolan JJ Array,One,,
2025/01/30,[Mazhorin 2025] B,10.48550/arXiv.2501.18521,arXiv,MISIS,,4.29,0.5,2.11,,,,,,,,,,grounded,,,,IMPA,"charge drive, on-chip flux",,2D,,,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-03-01_163610.png,,,,,,,,,Dolan JJ Array,Zero,,
2025/01/30,[Mazhorin 2025] A,10.48550/arXiv.2501.18521,arXiv,MISIS,,3.56,0.49,1.74,,,,,,,,,,grounded,,,,IMPA,"charge drive, on-chip flux",,2D,,,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-03-01_163610.png,,,,,,,,,Dolan JJ Array,Zero,,
2025/01/29,[Bista 2025] C,10.48550/arXiv.2501.17807,arXiv,UIUC,125 number for nJJ might only be for one of the qubits,2.25,1.08,0.32,7.826,0.6,250,half-flux,0.1,199,,253,,floating,,,,TWPA,global flux,,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-02-07_152719.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-03-01_161647.png,689,168,,,125,,Sapphire,Bridge-less JJ,Zero,,
2025/01/29,[Bista 2025] B,10.48550/arXiv.2501.17807,arXiv,UIUC,125 number for nJJ might only be for one of the qubits,2.49,1.06,0.32,7.047,1.4,215,half-flux,1.8,84,,60,,floating,,,,TWPA,global flux,,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-02-07_152719.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-03-01_161647.png,689,168,,,125,,Sapphire,Bridge-less JJ,Zero,,
2025/01/29,[Bista 2025] A,10.48550/arXiv.2501.17807,arXiv,UIUC,125 number for nJJ might only be for one of the qubits,2.68,1.09,0.32,7.44,0.6,203,half-flux,0.9,70,,88,,floating,,,,TWPA,global flux,,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-02-07_152719.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-03-01_161647.png,689,168,,,125,,Sapphire,Bridge-less JJ,Zero,,
2025/01/29,[Bothara 2025],10.48550/arXiv.2501.16691,arXiv,Tata,0.962 assignment fidelity w/o JPA. n_crit is estimated from fig 3c/d.,4.098,0.754,0.998,7.167,11.6,,half-flux,1.2,402,298,627,0.978,floating,400,126,0.26,JPA,global flux,,3D,,Ta,,,,,,,,,,Dolan JJ Array,Zero,,
2025/01/07,[Günzler 2025],10.48550/arXiv.2501.03661,arXiv,KIT,"gradiometric fluxonium. Flux noise amplitude is reported at 0 magnetic field ",32.2,14.1,0.454,,1.2,,half-flux,,8,1.5,3,,floating,,25,0.54,,global flux,None,Antenna,35,GrAl,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-14_150040.png,,,,,,,gralmonium,Sapphire,GrAl,Zero,,
2024/12/13,[Rower 2024],10.1103/PRXQuantum.5.040342,Published,MIT,,5.71,1.3,0.59,7.08,1.5,,half-flux,1,200,,200,,floating,,,,TWPA,"charge drive, global flux, on-chip flux",,2D,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_104729.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_180126.png,255,78,,,,,Si,Dolan JJ Array,One,,
